회차,방영일자,제목,분류,핵심 키워드,경제·마케팅·경영 관점
143,2024-03-19,리틀 할리우드! 홍콩 영화는 어떻게 망했나?,문화산업,홍콩영화·리틀 할리우드,콘텐츠 산업이 성장·쇠퇴하는 조건
142,2024-03-12,달콤함이 불러온 재앙! 인간의 욕망이 깃든 초콜릿,상품사/소비,초콜릿·사치품·원료,기호품이 글로벌 소비재가 되는 과정
138,2024-02-13,영국병을 타파한 ‘철의 여인’ 마거릿 대처의 두 얼굴!,경제정책/리더십,마거릿 대처·영국병·민영화,구조개혁 리더십과 사회적 비용
121,2023-10-17,"신의 물방울, 와인은 어떻게 프랑스의 자존심이 되었나?",브랜드/식문화,와인·프랑스·자존심,지역 산물이 국가 브랜드가 되는 방식
113,2023-08-22,화려한 할리우드 성장에 감춰진 추악한 진실,문화산업,할리우드·영화도시·시스템,엔터테인먼트 산업 성장의 어두운 이면
112,2023-08-15,비정한 워커홀릭 스티브 잡스는 어떻게 혁신의 아이콘이 되었나?!,경영/기업가,스티브 잡스·애플·혁신,제품철학·조직문화·리더십의 양면
110,2023-08-01,파란만장한 삶 위에 세운 샤넬 제국,브랜드/패션경영,샤넬·패션제국,창업자 서사와 브랜드 자산 구축
98,2023-05-09,"미국은 왜 블랙 코미디의 거장, 찰리 채플린을 버렸나",문화산업/노동,찰리 채플린·연봉·할리우드,콘텐츠 스타의 수익과 정치 리스크
93,2023-04-04,오일머니로 일군 세계 1위 부자 빈 살만의 쩐의 전쟁,경제/자원전략,빈 살만·오일머니·사우디,자원 의존국의 개혁·투자 전략
84,2023-01-31,기회인가? 재앙인가? 21세기 우주 패권 전쟁,경제/신산업,우주패권·NASA·우주산업,국가 경쟁이 신산업 생태계로 이어지는 방식
82,2023-01-17,위인전에서 알려주지 않는 발명왕 에디슨의 실체,경영/혁신,에디슨·발명·사업화,발명가에서 사업가로 확장한 혁신 모델
81,2023-01-10,뻘밭에서 황금의 땅으로! 상하이 격동의 150년,경제/도시,상하이·경제도시·조계지,항구·외국자본·전쟁이 도시경제를 바꾼 사례
70,2022-10-25,권모술수로 일군 금융 커넥션! 메디치 가문,경제/금융경영,메디치·금융재벌·후원,금융자본과 문화후원의 결합
63,2022-09-06,잃어버린 20년! 일본을 붕괴시킨 버블 경제,경제/버블,일본 버블경제·잃어버린 20년,자산버블과 장기침체의 교훈
62,2022-08-30,"탐욕이 불러온 대살육, 블러드 다이아몬드",경제/자원윤리,블러드 다이아몬드·사치재,원자재 공급망과 윤리적 소비
60,2022-08-16,유럽을 잠 못 이루게 한 오스만 제국과 커피,상품사/브랜드,커피·오스만·세계화,기호품이 글로벌 습관과 시장이 된 과정
58,2022-08-02,오일 쇼크의 악몽?! 석유 패권 전쟁,경제/자원,석유패권·유가·물가,에너지 패권이 세계경제를 움직이는 방식
56,2022-07-19,달러는 어떻게 세계 경제를 장악했나!,경제/통화,달러·인플레이션·금리,기축통화와 세계경제 지배 구조
49,2022-05-31,라틴 아메리카는 왜 마약 조직의 온상이 되었나?,불법경제,마약조직·유통·카르텔,불법 시장의 유통망과 조직화
47,2022-05-17,세상을 바꾼 산업혁명과 슬럼가의 비극,경제/산업혁명,산업혁명·대량생산·공장,생산방식 변화와 도시 빈곤
43,2022-04-19,미국의 서부 팽창과 인디언의 눈물,경제/부동산,미국 서부팽창·토지거래,토지 확보와 국가 성장의 관계
41,2022-04-05,"달콤함이 만든 잔혹한 거래, 영국 노예무역",경제/무역윤리,노예무역·설탕·상품화,소비재 이면의 공급망 폭력
30,2022-01-11,영 제국이 일으킨 가장 부도덕한 전쟁! <아편전쟁>,경제/무역,아편전쟁·홍차·무역적자,무역 불균형이 전쟁으로 번진 사례
24,2021-08-17,걸프전쟁 편,경제/자원전쟁,걸프전쟁·석유·패권,자원 확보가 국제전쟁으로 확장된 사례
23,2021-08-10,경제 대공황 편,경제/금융위기,경제 대공황·주식시장·은행,자본주의 호황과 붕괴의 전형
